id,title,price,specs_annee,specs_car_engine,specs_couleur_auto,specs_papiers,specs_kilometrage,specs_marque-voiture,specs_modele,specs_finition,specs_energie,specs_boite,option0,option1,option2,option3,option4,option5,option6,option7,option8,option9,option10,option11,option12,option13
41127676,Renault Symbol 2017 Essentielle,10000,2017,1.2 ess 16V  75ch,Gris Argent,Carte grise / safia,180000km,Renault,Symbol,Essentielle,,,Climatisation,ABS,ESP,Direction assisstée,Retroviseurs électriques,Radio CD,Feux du jour,Vitres éléctriques,,,,,,
41127670,Peugeot 208 2024 Allure,10000,2024,92 cho,Gris Souris,Carte grise / safia,00km,Peugeot,208,Allure,,,Climatisation,ABS,ESP,Radar de recul,Direction assisstée,Retroviseurs électriques,Phares antibrouillard,Radio CD,Alarme,Phares xénon,Jantes Alliage,Feux du jour,Vitres éléctriques,
41123923,Chevrolet Sail 4 portes 2011 Sail 4 portes,1220000,2011,1.2 ess 80ch,Gris,Carte grise / safia,314km,Chevrolet,Sail 4 portes,Sail 4 portes,,,Climatisation,ABS,Radar de recul,Direction assisstée,Retroviseurs électriques,Radio CD,Alarme,Vitres éléctriques,,,,,,
40559126,Fiat Doblo 2024 ,10000,2024,1.6,Noir,Carte grise / safia,00km,Fiat,Doblo,,,,,,,,,,,,,,,,,
41127652,Renault MEGANE 4 2018 GT LINE,3500000,2018,130,Blanc,Carte grise / safia,,Renault,MEGANE 4,GT LINE,,,,,,,,,,,,,,,,
41017948,Renault Clio Campus 2015 Bye bye,10000,2015,1.2 ess 16V 75ch,Blanc,Carte grise / safia,212000km,Renault,Clio Campus,Bye bye,,,Climatisation,ABS,Direction assisstée,Retroviseurs électriques,Phares antibrouillard,Alarme,Jantes Alliage,Vitres éléctriques,,,,,,
41127601,Peugeot 405 1987 405,10000,1987,"1,4",Blanc,Carte grise / safia,111km,Peugeot,405,405,,,,,,,,,,,,,,,,
41127592,JAC J5 2012 Classic,1100000,2012,1.5 vvt,Gris Manitoba,,258000km,JAC,J5,Classic,,,Climatisation,ABS,ESP,Radar de recul,Phares antibrouillard,Radio CD,Alarme,Jantes Alliage,Feux du jour,Vitres éléctriques,,,,
41127556,Fiat Doblo 2023 Tola,3450000,2023,1.6 HDI,Gris Argent,Carte grise / safia,1800km,Fiat,Doblo,Tola,,,Climatisation,ABS,ESP,Radar de recul,Direction assisstée,Retroviseurs électriques,Phares antibrouillard,Radio CD,Alarme,Phares xénon,Feux du jour,Vitres éléctriques,,
41127550,Peugeot 207 2011 Sportium,1750000,2011,1.6 HDI 92ch,Blanc,Carte grise / safia,205000km,Peugeot,207,Sportium,,,Climatisation,Toit ouvrant,ABS,Radar de recul,Direction assisstée,Retroviseurs électriques,Phares antibrouillard,Jantes Alliage,Vitres éléctriques,,,,,
41123887,Renault Twingo 2021 3,10000,2021,1.0 tce turbo 4 cylinder,Gris Argent,Carte grise / safia,57800km,Renault,Twingo,3,,,Climatisation,ABS,ESP,Radar de recul,Direction assisstée,Retroviseurs électriques,Phares antibrouillard,Radio CD,Alarme,Phares xénon,Feux du jour,Vitres éléctriques,,
41123887,Renault Twingo 2021 3,10000,2021,1.0 tce turbo 4 cylinder,Gris Argent,Carte grise / safia,57800km,Renault,Twingo,3,,,Climatisation,ABS,ESP,Radar de recul,Direction assisstée,Retroviseurs électriques,Phares antibrouillard,Radio CD,Alarme,Phares xénon,Feux du jour,Vitres éléctriques,,
41123881,Seat Leon 2019 Cupra,6200000,2019,2.0 TSi 290ch,Blanc,Carte grise / safia,87000km,Seat,Leon,Cupra,,,ABS,,,,,,,,,,,,,
41127535,BMW Série 3 2009 Série 3,10000,2009,320i,Bleu Turquoise,Carte grise / safia,110km,BMW,Série 3,Série 3,,,Climatisation,Toit ouvrant,ABS,ESP,Radar de recul,Direction assisstée,Retroviseurs électriques,Phares antibrouillard,Radio CD,Alarme,Phares xénon,Jantes Alliage,Feux du jour,Vitres éléctriques
41127514,Peugeot 301 2013 ,10000,2013,1.2 VTI 72ch,Blanc,Carte grise / safia,240000km,Peugeot,301,,,,Climatisation,ABS,ESP,Direction assisstée,Phares antibrouillard,Radio CD,Vitres éléctriques,,,,,,,
41123866,Kia Picanto 2015 Brazilia,1950000,2015,1.2 ess CVVT 87ch,Blanc,Carte grise / safia,360km,Kia,Picanto,Brazilia,,,Climatisation,Toit ouvrant,ABS,ESP,Radar de recul,Direction assisstée,Retroviseurs électriques,Phares antibrouillard,Radio CD,Alarme,Phares xénon,Jantes Alliage,Feux du jour,Vitres éléctriques
41127511,Audi A4 2017 S Line +,10000,2017,2.0TFSI  215ch,Gris Manitoba,Carte grise / safia,102000km,Audi,A4,S Line +,,,Climatisation,Toit ouvrant,ABS,ESP,Radar de recul,Direction assisstée,Retroviseurs électriques,Phares antibrouillard,Radio CD,Alarme,Phares xénon,Jantes Alliage,Feux du jour,Vitres éléctriques
41127493,Seat ATECA 2019 Fr beats,12340000,2019,2.0l TDI 143ch,Noir,Carte grise / safia,77000km,Seat,ATECA,Fr beats,,,Climatisation,Toit ouvrant,ABS,ESP,Radar de recul,Direction assisstée,Retroviseurs électriques,Phares antibrouillard,Radio CD,Alarme,Phares xénon,Jantes Alliage,Vitres éléctriques,
41123845,Fiat سكودو 2024 مجمول /17,1230000,2024,2.0 HDI,Gris Souris,Carte jaune,22km,Fiat,سكودو,مجمول /17,,,Climatisation,ABS,ESP,Radar de recul,Direction assisstée,Retroviseurs électriques,Phares antibrouillard,Radio CD,Phares xénon,Feux du jour,Vitres éléctriques,,,
41127478,Seat Leon 2015 LINEA R+,3550000,2015,2.0 TDI 143ch,Blanc,Carte grise / safia,243km,Seat,Leon,LINEA R+,,,Climatisation,Toit ouvrant,ABS,ESP,Radar de recul,Direction assisstée,Retroviseurs électriques,Phares antibrouillard,Radio CD,Alarme,Phares xénon,Jantes Alliage,Feux du jour,Vitres éléctriques
41127475,Peugeot 207 2013 New Active,1110000,2013,1.6 HDI 112ch,Blanc,Carte grise / safia,174000km,Peugeot,207,New Active,,,Climatisation,Toit ouvrant,ABS,ESP,Radar de recul,Direction assisstée,Retroviseurs électriques,Phares antibrouillard,Radio CD,Alarme,Phares xénon,Jantes Alliage,Feux du jour,Vitres éléctriques
39319737,Renault Captur 2021 Business,10000,2021,1.0 Tce 100 ch,Gris,Carte grise / safia,100280km,Renault,Captur,Business,,,Climatisation,ABS,ESP,Radar de recul,Direction assisstée,Retroviseurs électriques,Alarme,Feux du jour,Vitres éléctriques,,,,,
41127472,Nissan Navara 2016 SE4X4,3900000,2016,2.5 DDTI 4x4 190ch,Blanc,Carte grise / safia,89500km,Nissan,Navara,SE4X4,,,Climatisation,ABS,Radar de recul,Direction assisstée,Radio CD,Alarme,Feux du jour,,,,,,,
41127454,Hyundai Creta 2018 Gl,10000,2018,1.6,Gris Souris,Carte grise / safia,150000km,Hyundai,Creta,Gl,,,Climatisation,ABS,Radar de recul,Direction assisstée,Retroviseurs électriques,Phares antibrouillard,Radio CD,Alarme,Jantes Alliage,Vitres éléctriques,,,,
